Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,0.6422977300211232,59.0,41.0,0.0
0.016666666666666666,0.6422977300211232,59.0,41.0,0.0
0.03333333333333333,0.6350913940685141,59.0,41.0,0.0
0.05,0.6294530841889823,59.0,41.0,0.0
0.06666666666666667,0.6204973418473348,59.0,41.0,0.0
0.08333333333333333,0.6070463242544378,59.0,41.0,0.0
0.09999999999999999,0.6071832505353242,59.0,41.0,0.0
0.11666666666666665,0.5945746462840293,59.0,41.0,0.0
0.13333333333333333,0.5923907046658802,59.0,41.0,0.0
0.15,0.5829308884610171,59.0,41.0,0.0
0.16666666666666666,0.5829308884610171,59.0,41.0,0.0
0.18333333333333332,0.5829854787345788,59.0,41.0,0.0
0.19999999999999998,0.5819817610765439,59.0,41.0,0.0
0.21666666666666665,0.5839929703481052,59.0,41.0,0.0
0.2333333333333333,0.5804779910043435,59.0,41.0,0.0
0.24999999999999997,0.5681603827351407,59.0,41.0,0.0
0.26666666666666666,0.5604985047641803,59.0,41.0,0.0
0.2833333333333333,0.559311925774874,59.0,41.0,0.0
0.3,0.5528275858479235,59.0,41.0,0.0
0.31666666666666665,0.553223979590143,59.0,41.0,0.0
0.3333333333333333,0.5585126499232629,58.0,40.0,1.0
0.35,0.5535500825073392,58.0,40.0,1.0
0.36666666666666664,0.5516887029563816,58.0,40.0,1.0
0.3833333333333333,0.5461993002722706,58.0,40.0,1.0
0.39999999999999997,0.5461993002722706,58.0,40.0,1.0
0.41666666666666663,0.5496057322652839,57.0,39.0,2.0
0.4333333333333333,0.5504575212704755,56.0,38.0,3.0
0.44999999999999996,0.546013036902099,56.0,38.0,3.0
0.4666666666666666,0.5366709384313907,56.0,38.0,3.0
0.4833333333333333,0.5405275957558836,55.0,37.0,4.0
0.49999999999999994,0.5334621249340399,55.0,37.0,4.0
0.5166666666666666,0.5154276520231029,55.0,37.0,4.0
0.5333333333333333,0.5054621940915043,54.0,36.0,5.0
0.55,0.511639970408367,53.0,35.0,6.0
0.5666666666666668,0.5190867295629271,52.0,34.0,7.0
0.5833333333333335,0.5247289766233937,51.0,33.0,8.0
0.6000000000000002,0.5159254580377634,51.0,33.0,8.0
0.6166666666666669,0.5159724964675353,51.0,33.0,8.0
0.6333333333333336,0.5159724964675353,51.0,33.0,8.0
0.6500000000000004,0.514697106915652,51.0,33.0,8.0
0.6666666666666671,0.5145302685596045,51.0,33.0,8.0
0.6833333333333338,0.5145302685596045,51.0,33.0,8.0
0.7000000000000005,0.5247991817861182,49.0,31.0,10.0
0.7166666666666672,0.5314625302034875,48.0,30.0,11.0
0.733333333333334,0.5375018771376182,47.0,29.0,12.0
0.7500000000000007,0.5363140624093558,47.0,29.0,12.0
0.7666666666666674,0.5284826770708757,47.0,29.0,12.0
0.7833333333333341,0.5284826770708757,47.0,29.0,12.0
0.8000000000000008,0.5281870343103177,47.0,29.0,12.0
0.8166666666666675,0.5238435224671261,47.0,29.0,12.0
0.8333333333333343,0.5226976326181799,47.0,29.0,12.0
0.850000000000001,0.5226976326181799,47.0,29.0,12.0
0.8666666666666677,0.5159943526045194,47.0,29.0,12.0
0.8833333333333344,0.5219138073673416,46.0,28.0,13.0
0.9000000000000011,0.5232748145642455,46.0,28.0,13.0
0.9166666666666679,0.5239449238383315,46.0,28.0,13.0
0.9333333333333346,0.5231851482835161,46.0,28.0,13.0
0.9500000000000013,0.5132302311077265,46.0,28.0,13.0
0.966666666666668,0.5148648684019514,46.0,28.0,13.0
0.9833333333333347,0.5151632316241703,46.0,28.0,13.0
1.0000000000000013,0.5275455365182068,44.0,26.0,15.0
1.016666666666668,0.5273733223110121,44.0,26.0,15.0
1.0333333333333345,0.5255623317498763,44.0,26.0,15.0
1.0500000000000012,0.5255623317498763,44.0,26.0,15.0
1.0666666666666678,0.5221093365488689,44.0,26.0,15.0
1.0833333333333344,0.5233400067668459,43.0,25.0,16.0
1.100000000000001,0.5269935058996835,43.0,25.0,16.0
1.1166666666666676,0.5276838525434626,43.0,25.0,16.0
1.1333333333333342,0.5221793080985911,43.0,25.0,16.0
1.1500000000000008,0.5157334537361179,42.0,24.0,17.0
1.1666666666666674,0.52201142707847,41.0,23.0,18.0
1.183333333333334,0.52201142707847,41.0,23.0,18.0
1.2000000000000006,0.5349841390835861,39.0,21.0,20.0
1.2166666666666672,0.5294895890963174,39.0,21.0,20.0
1.2333333333333338,0.5284525902140507,39.0,21.0,20.0
1.2500000000000004,0.5284284992576146,39.0,21.0,20.0
1.266666666666667,0.5291684576883015,39.0,21.0,20.0
1.2833333333333337,0.5216754885159666,39.0,21.0,20.0
1.3000000000000003,0.5223449382809517,39.0,21.0,20.0
1.3166666666666669,0.5223449382809517,39.0,21.0,20.0
1.3333333333333335,0.5223449382809517,39.0,21.0,20.0
1.35,0.5223449382809517,39.0,21.0,20.0
1.3666666666666667,0.5190501136440346,39.0,21.0,20.0
1.3833333333333333,0.5190685695631706,39.0,21.0,20.0
1.4,0.5215500127197608,39.0,21.0,20.0
1.4166666666666665,0.5214837660967175,39.0,21.0,20.0
1.4333333333333331,0.5066167948382334,39.0,21.0,20.0
1.4499999999999997,0.5053464156298288,39.0,21.0,20.0
1.4666666666666663,0.512188633273724,38.0,20.0,21.0
1.483333333333333,0.5109826676292595,38.0,20.0,21.0
1.4999999999999996,0.5117254438750726,38.0,20.0,21.0
1.5166666666666662,0.5117254438750726,38.0,20.0,21.0
1.5333333333333328,0.5117254438750726,38.0,20.0,21.0
1.5499999999999994,0.5117254438750726,38.0,20.0,21.0
1.566666666666666,0.5057416069071484,38.0,20.0,21.0
1.5833333333333326,0.505439961035357,38.0,20.0,21.0
1.5999999999999992,0.5025501146809603,38.0,20.0,21.0
1.6166666666666658,0.5025501146809603,38.0,20.0,21.0
1.6333333333333324,0.5025501146809603,38.0,20.0,21.0
1.649999999999999,0.50339727077205,38.0,20.0,21.0
1.6666666666666656,0.50339727077205,38.0,20.0,21.0
1.6833333333333322,0.5095666463461278,37.0,19.0,22.0
1.6999999999999988,0.5048322756038781,37.0,19.0,22.0
1.7166666666666655,0.5043383974559245,37.0,19.0,22.0
1.733333333333332,0.5044349324012215,37.0,19.0,22.0
1.7499999999999987,0.49679516743964897,37.0,19.0,22.0
1.7666666666666653,0.49880389886116355,37.0,19.0,22.0
1.7833333333333319,0.5039837252781545,36.0,18.0,23.0
1.7999999999999985,0.5039837252781545,36.0,18.0,23.0
1.816666666666665,0.5086596087890346,36.0,18.0,23.0
1.8333333333333317,0.5153524983783639,35.0,17.0,24.0
1.8499999999999983,0.5146372881759975,35.0,17.0,24.0
1.866666666666665,0.5107180068279312,35.0,17.0,24.0
1.8833333333333315,0.5088376048175787,35.0,17.0,24.0
1.8999999999999981,0.4991475521943303,35.0,17.0,24.0
1.9166666666666647,0.4969674512924999,35.0,17.0,24.0
1.9333333333333313,0.4969674512924999,35.0,17.0,24.0
1.949999999999998,0.4907755491904754,35.0,17.0,24.0
1.9666666666666646,0.4973192231796819,34.0,16.0,25.0
1.9833333333333312,0.4964118075532648,34.0,16.0,25.0
1.9999999999999978,0.49655617823011255,34.0,16.0,25.0
2.0166666666666644,0.49655617823011255,34.0,16.0,25.0
2.033333333333331,0.49655617823011255,34.0,16.0,25.0
2.0499999999999976,0.499427292147905,34.0,16.0,25.0
2.066666666666664,0.5021375897369056,34.0,16.0,25.0
2.083333333333331,0.5021375897369056,34.0,16.0,25.0
2.0999999999999974,0.5021375897369056,34.0,16.0,25.0
2.116666666666664,0.5054948753138533,34.0,16.0,25.0
2.1333333333333306,0.5125256267679907,34.0,16.0,25.0
2.1499999999999972,0.5102102759321536,34.0,16.0,25.0
2.166666666666664,0.5105943636073466,34.0,16.0,25.0
2.1833333333333305,0.5134470157199972,33.0,15.0,26.0
2.199999999999997,0.5134470157199972,33.0,15.0,26.0
2.2166666666666637,0.5140606328679905,33.0,15.0,26.0
2.2333333333333303,0.5140606328679905,33.0,15.0,26.0
2.249999999999997,0.5140606328679905,33.0,15.0,26.0
