Tempo,Na,Cl,NaCl
1.8499999999999983,44.0,34.0,11.0
1.866666666666665,44.0,34.0,11.0
1.8833333333333315,44.0,34.0,11.0
1.8999999999999981,44.0,34.0,11.0
1.9166666666666647,44.0,34.0,11.0
1.9333333333333313,44.0,34.0,11.0
1.949999999999998,44.0,34.0,11.0
1.9666666666666646,44.0,34.0,11.0
1.9833333333333312,44.0,34.0,11.0
1.9999999999999978,44.0,34.0,11.0
2.0166666666666644,44.0,34.0,11.0
2.033333333333331,44.0,34.0,11.0
2.0499999999999976,44.0,34.0,11.0
2.066666666666664,44.0,34.0,11.0
2.083333333333331,43.0,33.0,12.0
2.0999999999999974,43.0,33.0,12.0
2.116666666666664,43.0,33.0,12.0
2.1333333333333306,43.0,33.0,12.0
2.1499999999999972,43.0,33.0,12.0
2.166666666666664,43.0,33.0,12.0
2.1833333333333305,43.0,33.0,12.0
2.199999999999997,43.0,33.0,12.0
2.2166666666666637,43.0,33.0,12.0
2.2333333333333303,43.0,33.0,12.0
2.249999999999997,43.0,33.0,12.0
2.2666666666666635,43.0,33.0,12.0
2.28333333333333,43.0,33.0,12.0
2.2999999999999967,43.0,33.0,12.0
2.3166666666666633,43.0,33.0,12.0
2.33333333333333,42.0,32.0,13.0
2.3499999999999965,42.0,32.0,13.0
2.366666666666663,42.0,32.0,13.0
2.3833333333333298,42.0,32.0,13.0
2.3999999999999964,42.0,32.0,13.0
2.416666666666663,41.0,31.0,14.0
2.4333333333333296,41.0,31.0,14.0
2.449999999999996,41.0,31.0,14.0
2.466666666666663,41.0,31.0,14.0
2.4833333333333294,41.0,31.0,14.0
2.499999999999996,41.0,31.0,14.0
2.5166666666666626,41.0,31.0,14.0
2.533333333333329,41.0,31.0,14.0
2.549999999999996,41.0,31.0,14.0
2.5666666666666624,41.0,31.0,14.0
2.583333333333329,41.0,31.0,14.0
2.5999999999999956,41.0,31.0,14.0
2.6166666666666623,41.0,31.0,14.0
2.633333333333329,41.0,31.0,14.0
2.6499999999999955,41.0,31.0,14.0
2.666666666666662,41.0,31.0,14.0
2.6833333333333287,41.0,31.0,14.0
2.6999999999999953,41.0,31.0,14.0
2.716666666666662,41.0,31.0,14.0
2.7333333333333285,41.0,31.0,14.0
2.749999999999995,41.0,31.0,14.0
2.7666666666666617,41.0,31.0,14.0
2.7833333333333283,41.0,31.0,14.0
2.799999999999995,41.0,31.0,14.0
2.8166666666666615,41.0,31.0,14.0
2.833333333333328,41.0,31.0,14.0
2.8499999999999948,41.0,31.0,14.0
2.8666666666666614,41.0,31.0,14.0
2.883333333333328,41.0,31.0,14.0
2.8999999999999946,41.0,31.0,14.0
2.916666666666661,41.0,31.0,14.0
2.933333333333328,41.0,31.0,14.0
2.9499999999999944,41.0,31.0,14.0
2.966666666666661,41.0,31.0,14.0
2.9833333333333276,41.0,31.0,14.0
2.9999999999999942,41.0,31.0,14.0
3.016666666666661,41.0,31.0,14.0
3.0333333333333274,41.0,31.0,14.0
3.049999999999994,41.0,31.0,14.0
3.0666666666666607,41.0,31.0,14.0
3.0833333333333273,41.0,31.0,14.0
3.099999999999994,41.0,31.0,14.0
3.1166666666666605,41.0,31.0,14.0
3.133333333333327,41.0,31.0,14.0
3.1499999999999937,41.0,31.0,14.0
3.1666666666666603,41.0,31.0,14.0
3.183333333333327,41.0,31.0,14.0
3.1999999999999935,41.0,31.0,14.0
3.21666666666666,41.0,31.0,14.0
3.2333333333333267,41.0,31.0,14.0
3.2499999999999933,41.0,31.0,14.0
3.26666666666666,41.0,31.0,14.0
3.2833333333333266,41.0,31.0,14.0
3.299999999999993,41.0,31.0,14.0
3.3166666666666598,41.0,31.0,14.0
3.3333333333333264,41.0,31.0,14.0
3.349999999999993,41.0,31.0,14.0
3.3666666666666596,41.0,31.0,14.0
3.383333333333326,41.0,31.0,14.0
3.399999999999993,41.0,31.0,14.0
3.4166666666666594,41.0,31.0,14.0
3.433333333333326,41.0,31.0,14.0
3.4499999999999926,41.0,31.0,14.0
3.4666666666666592,41.0,31.0,14.0
3.483333333333326,41.0,31.0,14.0
3.4999999999999925,41.0,31.0,14.0
3.516666666666659,40.0,30.0,15.0
3.5333333333333257,40.0,30.0,15.0
3.5499999999999923,40.0,30.0,15.0
3.566666666666659,40.0,30.0,15.0
3.5833333333333255,40.0,30.0,15.0
3.599999999999992,40.0,30.0,15.0
3.6166666666666587,40.0,30.0,15.0
3.6333333333333253,40.0,30.0,15.0
3.649999999999992,40.0,30.0,15.0
3.6666666666666585,40.0,30.0,15.0
3.683333333333325,40.0,30.0,15.0
3.6999999999999917,40.0,30.0,15.0
3.7166666666666583,40.0,30.0,15.0
3.733333333333325,40.0,30.0,15.0
3.7499999999999916,40.0,30.0,15.0
3.766666666666658,40.0,30.0,15.0
3.7833333333333248,40.0,30.0,15.0
3.7999999999999914,40.0,30.0,15.0
3.816666666666658,40.0,30.0,15.0
3.8333333333333246,40.0,30.0,15.0
3.849999999999991,40.0,30.0,15.0
3.866666666666658,40.0,30.0,15.0
3.8833333333333244,40.0,30.0,15.0
3.899999999999991,40.0,30.0,15.0
3.9166666666666576,40.0,30.0,15.0
3.9333333333333242,40.0,30.0,15.0
3.949999999999991,40.0,30.0,15.0
3.9666666666666575,40.0,30.0,15.0
3.983333333333324,40.0,30.0,15.0
3.9999999999999907,40.0,30.0,15.0
4.016666666666658,40.0,30.0,15.0
4.033333333333324,40.0,30.0,15.0
4.049999999999991,39.0,29.0,16.0
4.0666666666666575,39.0,29.0,16.0
4.083333333333324,39.0,29.0,16.0
4.099999999999991,39.0,29.0,16.0
4.116666666666657,39.0,29.0,16.0
4.133333333333324,39.0,29.0,16.0
4.149999999999991,39.0,29.0,16.0
4.166666666666657,39.0,29.0,16.0
4.183333333333324,39.0,29.0,16.0
4.19999999999999,39.0,29.0,16.0
4.216666666666657,39.0,29.0,16.0
4.233333333333324,39.0,29.0,16.0
4.24999999999999,39.0,29.0,16.0
4.266666666666657,39.0,29.0,16.0
4.2833333333333234,39.0,29.0,16.0
4.29999999999999,39.0,29.0,16.0
4.316666666666657,39.0,29.0,16.0
4.333333333333323,39.0,29.0,16.0
4.34999999999999,39.0,29.0,16.0
4.3666666666666565,39.0,29.0,16.0
4.383333333333323,39.0,29.0,16.0
4.39999999999999,39.0,29.0,16.0
4.416666666666656,39.0,29.0,16.0
4.433333333333323,38.0,28.0,17.0
4.4499999999999895,38.0,28.0,17.0
4.466666666666656,38.0,28.0,17.0
4.483333333333323,38.0,28.0,17.0
4.499999999999989,37.0,27.0,18.0
4.516666666666656,37.0,27.0,18.0
4.533333333333323,37.0,27.0,18.0
4.549999999999989,37.0,27.0,18.0
4.566666666666656,37.0,27.0,18.0
4.583333333333322,37.0,27.0,18.0
4.599999999999989,37.0,27.0,18.0
4.616666666666656,37.0,27.0,18.0
4.633333333333322,37.0,27.0,18.0
4.649999999999989,37.0,27.0,18.0
4.666666666666655,37.0,27.0,18.0
4.683333333333322,37.0,27.0,18.0
4.699999999999989,37.0,27.0,18.0
4.716666666666655,37.0,27.0,18.0
4.733333333333322,37.0,27.0,18.0
4.7499999999999885,37.0,27.0,18.0
4.766666666666655,37.0,27.0,18.0
4.783333333333322,37.0,27.0,18.0
4.799999999999988,37.0,27.0,18.0
4.816666666666655,36.0,26.0,19.0
4.8333333333333215,36.0,26.0,19.0
4.849999999999988,36.0,26.0,19.0
4.866666666666655,36.0,26.0,19.0
4.883333333333321,36.0,26.0,19.0
4.899999999999988,36.0,26.0,19.0
4.9166666666666545,36.0,26.0,19.0
4.933333333333321,35.0,25.0,20.0
4.949999999999988,35.0,25.0,20.0
4.966666666666654,35.0,25.0,20.0
4.983333333333321,35.0,25.0,20.0
4.999999999999988,35.0,25.0,20.0
5.016666666666654,35.0,25.0,20.0
5.033333333333321,35.0,25.0,20.0
5.049999999999987,35.0,25.0,20.0
5.066666666666654,35.0,25.0,20.0
5.083333333333321,35.0,25.0,20.0
5.099999999999987,35.0,25.0,20.0
5.116666666666654,35.0,25.0,20.0
5.13333333333332,35.0,25.0,20.0
5.149999999999987,35.0,25.0,20.0
5.166666666666654,34.0,24.0,21.0
5.18333333333332,34.0,24.0,21.0
5.199999999999987,34.0,24.0,21.0
5.2166666666666535,34.0,24.0,21.0
5.23333333333332,33.0,23.0,22.0
5.249999999999987,33.0,23.0,22.0
5.266666666666653,33.0,23.0,22.0
5.28333333333332,33.0,23.0,22.0
5.2999999999999865,33.0,23.0,22.0
5.316666666666653,33.0,23.0,22.0
5.33333333333332,32.0,22.0,23.0
5.349999999999986,32.0,22.0,23.0
5.366666666666653,32.0,22.0,23.0
5.3833333333333195,31.0,21.0,24.0
5.399999999999986,31.0,21.0,24.0
5.416666666666653,31.0,21.0,24.0
5.433333333333319,30.0,20.0,25.0
5.449999999999986,30.0,20.0,25.0
5.466666666666653,30.0,20.0,25.0
5.483333333333319,30.0,20.0,25.0
5.499999999999986,30.0,20.0,25.0
5.516666666666652,30.0,20.0,25.0
5.533333333333319,30.0,20.0,25.0
5.549999999999986,30.0,20.0,25.0
5.566666666666652,30.0,20.0,25.0
5.583333333333319,30.0,20.0,25.0
5.599999999999985,30.0,20.0,25.0
5.616666666666652,30.0,20.0,25.0
5.633333333333319,29.0,19.0,26.0
5.649999999999985,29.0,19.0,26.0
5.666666666666652,29.0,19.0,26.0
5.6833333333333185,29.0,19.0,26.0
5.699999999999985,29.0,19.0,26.0
5.716666666666652,29.0,19.0,26.0
5.733333333333318,29.0,19.0,26.0
5.749999999999985,29.0,19.0,26.0
5.7666666666666515,29.0,19.0,26.0
5.783333333333318,29.0,19.0,26.0
5.799999999999985,29.0,19.0,26.0
5.816666666666651,29.0,19.0,26.0
5.833333333333318,29.0,19.0,26.0
5.8499999999999845,29.0,19.0,26.0
5.866666666666651,29.0,19.0,26.0
5.883333333333318,29.0,19.0,26.0
5.899999999999984,28.0,18.0,27.0
5.916666666666651,28.0,18.0,27.0
5.933333333333318,28.0,18.0,27.0
5.949999999999984,28.0,18.0,27.0
5.966666666666651,28.0,18.0,27.0
5.983333333333317,28.0,18.0,27.0
5.999999999999984,28.0,18.0,27.0
6.016666666666651,28.0,18.0,27.0
6.033333333333317,28.0,18.0,27.0
6.049999999999984,28.0,18.0,27.0
6.06666666666665,28.0,18.0,27.0
6.083333333333317,28.0,18.0,27.0
6.099999999999984,28.0,18.0,27.0
6.11666666666665,28.0,18.0,27.0
6.133333333333317,28.0,18.0,27.0
6.1499999999999835,28.0,18.0,27.0
6.16666666666665,28.0,18.0,27.0
6.183333333333317,28.0,18.0,27.0
6.199999999999983,28.0,18.0,27.0
6.21666666666665,28.0,18.0,27.0
6.2333333333333165,28.0,18.0,27.0
6.249999999999983,28.0,18.0,27.0
6.26666666666665,28.0,18.0,27.0
6.283333333333316,28.0,18.0,27.0
6.299999999999983,28.0,18.0,27.0
6.3166666666666496,28.0,18.0,27.0
6.333333333333316,28.0,18.0,27.0
6.349999999999983,28.0,18.0,27.0
6.366666666666649,28.0,18.0,27.0
6.383333333333316,28.0,18.0,27.0
6.399999999999983,28.0,18.0,27.0
6.416666666666649,28.0,18.0,27.0
6.433333333333316,28.0,18.0,27.0
6.449999999999982,28.0,18.0,27.0
6.466666666666649,28.0,18.0,27.0
6.483333333333316,28.0,18.0,27.0
6.499999999999982,28.0,18.0,27.0
6.516666666666649,28.0,18.0,27.0
6.5333333333333155,28.0,18.0,27.0
