Tempo,Na,Cl,NaCl
0.0,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.016666666666666666,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.03333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.05,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.06666666666666667,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.08333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.09999999999999999,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.11666666666666665,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.13333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.15,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.16666666666666666,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.18333333333333332,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.19999999999999998,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.21666666666666665,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.2333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.24999999999999997,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.26666666666666666,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.2833333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.3,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.31666666666666665,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.3333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.35,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.36666666666666664,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.3833333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.39999999999999997,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.41666666666666663,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.4333333333333333,4.4835602789770837e-23,5.479907007638658e-23,0.0
0.44999999999999996,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.4666666666666666,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.4833333333333333,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.49999999999999994,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.5166666666666666,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.5333333333333333,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.55,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.5666666666666668,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.5833333333333335,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6000000000000002,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6166666666666669,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6333333333333336,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6500000000000004,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6666666666666671,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.6833333333333338,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.7000000000000005,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.7166666666666672,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.733333333333334,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.7500000000000007,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.7666666666666674,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.7833333333333341,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.8000000000000008,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.8166666666666675,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.8333333333333343,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.850000000000001,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.8666666666666677,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.8833333333333344,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.9000000000000011,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.9166666666666679,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.9333333333333346,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
0.9500000000000013,4.317502490866822e-23,5.313849219528396e-23,1.6605778811026236e-24
