Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,1.4083202204384653,369.0,331.0,0.0
0.016666666666666666,1.4083202204384653,369.0,331.0,0.0
0.03333333333333333,1.3999346321363386,369.0,331.0,0.0
0.05,1.3837095912835438,368.0,330.0,1.0
0.06666666666666667,1.3746853912297985,366.0,328.0,3.0
0.08333333333333333,1.3510498042329162,366.0,328.0,3.0
0.09999999999999999,1.3208549000982706,365.0,327.0,4.0
0.11666666666666665,1.3151538235410856,363.0,325.0,6.0
0.13333333333333333,1.3056587464125726,360.0,323.0,9.0
0.15,1.2992131102481397,358.0,321.0,11.0
0.16666666666666666,1.2997102995368492,352.0,315.0,17.0
0.18333333333333332,1.3011763817236612,346.0,309.0,23.0
0.19999999999999998,1.298921576748311,343.0,306.0,26.0
0.21666666666666665,1.2854109744668656,339.0,302.0,30.0
0.2333333333333333,1.2816548246341246,338.0,300.0,32.0
0.24999999999999997,1.273711150962638,337.0,299.0,33.0
0.26666666666666666,1.2706145899651382,334.0,296.0,36.0
0.2833333333333333,1.2692688426247074,332.0,294.0,38.0
0.3,1.2668494323174835,329.0,291.0,41.0
0.31666666666666665,1.2536346053102037,327.0,289.0,43.0
0.3333333333333333,1.2490116429641442,323.0,285.0,47.0
0.35,1.2547907856154903,316.0,278.0,54.0
0.36666666666666664,1.2462157141680719,316.0,278.0,54.0
0.3833333333333333,1.233651020067069,315.0,277.0,55.0
0.39999999999999997,1.2245904654930508,314.0,276.0,56.0
0.41666666666666663,1.2162379721428773,313.0,275.0,57.0
0.4333333333333333,1.2160709207987304,309.0,271.0,61.0
0.44999999999999996,1.2161505997214885,306.0,268.0,64.0
0.4666666666666666,1.2234570542154404,302.0,264.0,68.0
0.4833333333333333,1.222237263876168,301.0,263.0,69.0
0.49999999999999994,1.221280383183154,299.0,260.0,72.0
0.5166666666666666,1.2214370770219551,297.0,258.0,74.0
0.5333333333333333,1.2171884936156838,296.0,257.0,75.0
0.55,1.2152991323903104,290.0,251.0,81.0
0.5666666666666668,1.214658791880731,288.0,249.0,83.0
0.5833333333333335,1.203329861914522,287.0,248.0,84.0
0.6000000000000002,1.207481533187286,286.0,247.0,85.0
0.6166666666666669,1.20372670284936,286.0,247.0,85.0
0.6333333333333336,1.2086110978119817,284.0,244.0,88.0
0.6500000000000004,1.2059059217192534,281.0,241.0,91.0
0.6666666666666671,1.1951451795561308,281.0,241.0,91.0
0.6833333333333338,1.1880167054973796,279.0,239.0,93.0
0.7000000000000005,1.187865344900163,276.0,236.0,96.0
0.7166666666666672,1.183252278072329,274.0,234.0,98.0
0.733333333333334,1.180461656727155,273.0,233.0,99.0
0.7500000000000007,1.1801278531060893,271.0,231.0,101.0
0.7666666666666674,1.178971355507532,268.0,228.0,104.0
0.7833333333333341,1.1817493572138742,263.0,223.0,110.0
0.8000000000000008,1.1860227046690655,259.0,218.0,115.0
0.8166666666666675,1.183632292804967,256.0,215.0,118.0
0.8333333333333343,1.1747555232722569,255.0,214.0,119.0
0.850000000000001,1.1795701609854667,254.0,213.0,120.0
0.8666666666666677,1.1757549912096548,253.0,212.0,121.0
0.8833333333333344,1.1735582659371366,251.0,210.0,123.0
0.9000000000000011,1.17223188396037,250.0,209.0,124.0
0.9166666666666679,1.1706806278217559,249.0,208.0,125.0
0.9333333333333346,1.168783861830861,248.0,207.0,126.0
0.9500000000000013,1.1699376163156172,248.0,207.0,126.0
0.966666666666668,1.1684162307527373,248.0,207.0,126.0
0.9833333333333347,1.175865736326059,247.0,206.0,127.0
1.0000000000000013,1.1625464588430698,247.0,206.0,127.0
1.016666666666668,1.1610471498810901,246.0,205.0,128.0
1.0333333333333345,1.1638457305475325,246.0,205.0,128.0
1.0500000000000012,1.1655061911418272,244.0,203.0,130.0
1.0666666666666678,1.163039353472651,243.0,202.0,131.0
1.0833333333333344,1.1611728274663426,240.0,199.0,134.0
1.100000000000001,1.160169879959963,238.0,197.0,136.0
1.1166666666666676,1.1614218842728181,238.0,197.0,136.0
1.1333333333333342,1.1544896525750286,237.0,196.0,137.0
1.1500000000000008,1.1498367305112296,237.0,196.0,137.0
1.1666666666666674,1.1541493147344013,235.0,194.0,139.0
1.183333333333334,1.159779738377299,232.0,191.0,142.0
1.2000000000000006,1.1548476272782922,231.0,190.0,143.0
1.2166666666666672,1.1608968594750317,227.0,186.0,147.0
1.2333333333333338,1.1668539125755928,227.0,186.0,147.0
1.2500000000000004,1.1703462453076963,224.0,183.0,150.0
1.266666666666667,1.1744194988273022,223.0,182.0,151.0
1.2833333333333337,1.1730947459470689,222.0,181.0,152.0
1.3000000000000003,1.1837434562565348,218.0,177.0,156.0
1.3166666666666669,1.1804769050226616,218.0,177.0,156.0
1.3333333333333335,1.181168265076786,217.0,176.0,157.0
1.35,1.1849481892119393,215.0,174.0,159.0
1.3666666666666667,1.1813045067309096,214.0,173.0,160.0
1.3833333333333333,1.1784520806064593,214.0,173.0,160.0
1.4,1.1767555541924555,214.0,173.0,160.0
1.4166666666666665,1.1795909843948118,213.0,172.0,161.0
1.4333333333333331,1.1804386801394362,212.0,171.0,162.0
1.4499999999999997,1.1768488175476386,212.0,171.0,162.0
1.4666666666666663,1.1807530750400295,210.0,168.0,165.0
1.483333333333333,1.1762228606548955,209.0,167.0,166.0
1.4999999999999996,1.1687484349636632,209.0,167.0,166.0
1.5166666666666662,1.1675063038619207,209.0,167.0,166.0
1.5333333333333328,1.1655334793553649,208.0,166.0,167.0
1.5499999999999994,1.16788827909566,207.0,165.0,168.0
1.566666666666666,1.173567896988563,204.0,163.0,171.0
1.5833333333333326,1.1763420682143368,203.0,162.0,172.0
1.5999999999999992,1.1763643712681628,201.0,160.0,174.0
1.6166666666666658,1.1840455373537138,199.0,158.0,176.0
1.6333333333333324,1.186436592315064,197.0,156.0,178.0
1.649999999999999,1.1836995073755705,197.0,156.0,178.0
1.6666666666666656,1.1896437454819442,195.0,154.0,180.0
1.6833333333333322,1.1911254622511551,194.0,152.0,182.0
1.6999999999999988,1.1949480730833324,193.0,151.0,183.0
1.7166666666666655,1.1953252610121101,193.0,151.0,183.0
1.733333333333332,1.1957202003179812,192.0,150.0,184.0
1.7499999999999987,1.195829677538011,191.0,149.0,185.0
1.7666666666666653,1.192244181367871,190.0,148.0,186.0
1.7833333333333319,1.1884735995607538,190.0,148.0,186.0
1.7999999999999985,1.1960338428193364,189.0,147.0,187.0
1.816666666666665,1.1982730055367594,187.0,145.0,189.0
1.8333333333333317,1.1946673805340688,187.0,145.0,189.0
