Tempo,Na,Cl,NaCl
0.0,8.302889405513118e-23,8.302889405513118e-23,0.0
0.016666666666666666,8.302889405513118e-23,8.302889405513118e-23,0.0
0.03333333333333333,8.302889405513118e-23,8.302889405513118e-23,0.0
0.05,8.302889405513118e-23,8.302889405513118e-23,0.0
0.06666666666666667,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.08333333333333333,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.09999999999999999,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.11666666666666665,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.13333333333333333,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.15,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.16666666666666666,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.18333333333333332,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.19999999999999998,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.21666666666666665,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.2333333333333333,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.24999999999999997,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.26666666666666666,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.2833333333333333,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.3,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.31666666666666665,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.3333333333333333,8.136831617402855e-23,8.136831617402855e-23,1.6605778811026236e-24
0.35,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.36666666666666664,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.3833333333333333,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.39999999999999997,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.41666666666666663,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.4333333333333333,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.44999999999999996,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.4666666666666666,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.4833333333333333,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.49999999999999994,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.5166666666666666,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.5333333333333333,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.55,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.5666666666666668,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.5833333333333335,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6000000000000002,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6166666666666669,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6333333333333336,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6500000000000004,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6666666666666671,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.6833333333333338,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.7000000000000005,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.7166666666666672,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.733333333333334,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.7500000000000007,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.7666666666666674,7.970773829292593e-23,7.970773829292593e-23,3.321155762205247e-24
0.7833333333333341,7.804716041182332e-23,7.804716041182332e-23,4.981733643307871e-24
0.8000000000000008,7.804716041182332e-23,7.804716041182332e-23,4.981733643307871e-24
0.8166666666666675,7.804716041182332e-23,7.804716041182332e-23,4.981733643307871e-24
0.8333333333333343,7.804716041182332e-23,7.804716041182332e-23,4.981733643307871e-24
0.850000000000001,7.638658253072068e-23,7.638658253072068e-23,6.642311524410495e-24
0.8666666666666677,7.472600464961806e-23,7.472600464961806e-23,8.302889405513118e-24
0.8833333333333344,7.472600464961806e-23,7.472600464961806e-23,8.302889405513118e-24
0.9000000000000011,7.472600464961806e-23,7.472600464961806e-23,8.302889405513118e-24
0.9166666666666679,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
0.9333333333333346,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
0.9500000000000013,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
0.966666666666668,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
0.9833333333333347,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.0000000000000013,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.016666666666668,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.0333333333333345,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.0500000000000012,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.0666666666666678,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.0833333333333344,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
1.100000000000001,7.306542676851545e-23,7.306542676851545e-23,9.963467286615742e-24
