Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,0.5741186540648764,48.0,32.0,0.0
0.016666666666666666,0.5741186540648764,48.0,32.0,0.0
0.03333333333333333,0.5741186540648764,48.0,32.0,0.0
0.05,0.5665369085965184,48.0,32.0,0.0
0.06666666666666667,0.55139378056281,48.0,32.0,0.0
0.08333333333333333,0.5425427426995315,48.0,32.0,0.0
0.09999999999999999,0.5429340966520898,48.0,32.0,0.0
0.11666666666666665,0.5324735244855546,48.0,32.0,0.0
0.13333333333333333,0.5326784952649656,48.0,32.0,0.0
0.15,0.5357546878304084,48.0,32.0,0.0
0.16666666666666666,0.5280513691367138,48.0,32.0,0.0
0.18333333333333332,0.5285506533929242,48.0,32.0,0.0
0.19999999999999998,0.5287992849959833,48.0,32.0,0.0
0.21666666666666665,0.5287992849959833,48.0,32.0,0.0
0.2333333333333333,0.5221573361066912,48.0,32.0,0.0
0.24999999999999997,0.5221912977042446,48.0,32.0,0.0
0.26666666666666666,0.5215846010719596,48.0,32.0,0.0
0.2833333333333333,0.5188887460042425,48.0,32.0,0.0
0.3,0.5193219462373235,48.0,32.0,0.0
0.31666666666666665,0.5076668079990589,48.0,32.0,0.0
0.3333333333333333,0.49069332893883416,48.0,32.0,0.0
0.35,0.4902942834396226,48.0,32.0,0.0
0.36666666666666664,0.47304448406238064,48.0,32.0,0.0
0.3833333333333333,0.47304448406238064,48.0,32.0,0.0
0.39999999999999997,0.4535464955636111,48.0,32.0,0.0
0.41666666666666663,0.45928759044416306,47.0,31.0,1.0
0.4333333333333333,0.4644101675167319,46.0,30.0,2.0
0.44999999999999996,0.4644101675167319,46.0,30.0,2.0
0.4666666666666666,0.4718280581909033,45.0,29.0,3.0
0.4833333333333333,0.46015339410615747,45.0,29.0,3.0
0.49999999999999994,0.46715737754830433,44.0,28.0,4.0
0.5166666666666666,0.47001930590078056,43.0,27.0,5.0
0.5333333333333333,0.47001930590078056,43.0,27.0,5.0
0.55,0.4763709181426829,42.0,26.0,6.0
0.5666666666666668,0.4761352981789581,42.0,26.0,6.0
0.5833333333333335,0.4639457715864793,42.0,26.0,6.0
0.6000000000000002,0.4639457715864793,42.0,26.0,6.0
0.6166666666666669,0.46591936104923015,42.0,26.0,6.0
0.6333333333333336,0.46591335955410557,42.0,26.0,6.0
0.6500000000000004,0.46591335955410557,42.0,26.0,6.0
0.6666666666666671,0.46643774967078405,42.0,26.0,6.0
0.6833333333333338,0.46816829057712867,42.0,26.0,6.0
0.7000000000000005,0.46816829057712867,42.0,26.0,6.0
0.7166666666666672,0.46701232709927115,42.0,26.0,6.0
0.733333333333334,0.467063990868892,42.0,26.0,6.0
0.7500000000000007,0.46398991730954137,42.0,26.0,6.0
0.7666666666666674,0.4638452447430221,42.0,26.0,6.0
0.7833333333333341,0.4638452447430221,42.0,26.0,6.0
0.8000000000000008,0.4638452447430221,42.0,26.0,6.0
0.8166666666666675,0.4637813934057215,42.0,26.0,6.0
0.8333333333333343,0.4638008555545373,42.0,26.0,6.0
0.850000000000001,0.46339142151492635,42.0,26.0,6.0
0.8666666666666677,0.46273631135967197,42.0,26.0,6.0
0.8833333333333344,0.46042884892572966,42.0,26.0,6.0
0.9000000000000011,0.46139667575519205,42.0,26.0,6.0
0.9166666666666679,0.46139667575519205,42.0,26.0,6.0
0.9333333333333346,0.4542793261211074,42.0,26.0,6.0
0.9500000000000013,0.4542793261211074,42.0,26.0,6.0
0.966666666666668,0.4548931494270636,42.0,26.0,6.0
0.9833333333333347,0.4537457806069247,42.0,26.0,6.0
1.0000000000000013,0.45247491167144954,42.0,26.0,6.0
1.016666666666668,0.4519258478277583,42.0,26.0,6.0
1.0333333333333345,0.4519258478277583,42.0,26.0,6.0
1.0500000000000012,0.451734254936973,42.0,26.0,6.0
1.0666666666666678,0.4516924937651348,42.0,26.0,6.0
1.0833333333333344,0.4516924937651348,42.0,26.0,6.0
1.100000000000001,0.45462572093499976,42.0,26.0,6.0
1.1166666666666676,0.4548502954864404,42.0,26.0,6.0
1.1333333333333342,0.45582574511084556,42.0,26.0,6.0
1.1500000000000008,0.45582574511084556,42.0,26.0,6.0
1.1666666666666674,0.45582574511084556,42.0,26.0,6.0
1.183333333333334,0.4548249499354216,42.0,26.0,6.0
1.2000000000000006,0.4548249499354216,42.0,26.0,6.0
1.2166666666666672,0.4508612818588542,42.0,26.0,6.0
1.2333333333333338,0.4508612818588542,42.0,26.0,6.0
1.2500000000000004,0.45107182638343796,42.0,26.0,6.0
1.266666666666667,0.44332937741173584,42.0,26.0,6.0
1.2833333333333337,0.4433299837406912,42.0,26.0,6.0
1.3000000000000003,0.443629205441493,42.0,26.0,6.0
1.3166666666666669,0.4442623387152269,42.0,26.0,6.0
1.3333333333333335,0.4443546769398282,42.0,26.0,6.0
1.35,0.45044172730886695,41.0,25.0,7.0
1.3666666666666667,0.450864860921857,41.0,25.0,7.0
1.3833333333333333,0.450864860921857,41.0,25.0,7.0
1.4,0.4530927908394071,41.0,25.0,7.0
1.4166666666666665,0.4530927908394071,41.0,25.0,7.0
1.4333333333333331,0.4489766599018824,41.0,25.0,7.0
1.4499999999999997,0.4341184510515911,41.0,25.0,7.0
1.4666666666666663,0.4332992676439338,41.0,25.0,7.0
1.483333333333333,0.4332992676439338,41.0,25.0,7.0
1.4999999999999996,0.4332992676439338,41.0,25.0,7.0
1.5166666666666662,0.4340718197393109,41.0,25.0,7.0
1.5333333333333328,0.4340718197393109,41.0,25.0,7.0
1.5499999999999994,0.40799893286499456,41.0,25.0,7.0
1.566666666666666,0.4136655847103416,40.0,24.0,8.0
1.5833333333333326,0.4136655847103416,40.0,24.0,8.0
1.5999999999999992,0.4210739623052225,39.0,23.0,9.0
1.6166666666666658,0.4224113290215276,39.0,23.0,9.0
1.6333333333333324,0.4224113290215276,39.0,23.0,9.0
1.649999999999999,0.42683733501346843,39.0,23.0,9.0
1.6666666666666656,0.4266341257445899,39.0,23.0,9.0
1.6833333333333322,0.4277593685387652,39.0,23.0,9.0
1.6999999999999988,0.4277593685387652,39.0,23.0,9.0
1.7166666666666655,0.4277593685387652,39.0,23.0,9.0
1.733333333333332,0.43237005373919896,38.0,22.0,10.0
1.7499999999999987,0.43231240732121956,38.0,22.0,10.0
1.7666666666666653,0.43137804561463877,38.0,22.0,10.0
1.7833333333333319,0.43120554412974565,38.0,22.0,10.0
1.7999999999999985,0.43120554412974565,38.0,22.0,10.0
1.816666666666665,0.43120554412974565,38.0,22.0,10.0
1.8333333333333317,0.43120100873272743,38.0,22.0,10.0
1.8499999999999983,0.4295826905497625,38.0,22.0,10.0
1.866666666666665,0.4190498197975638,38.0,22.0,10.0
1.8833333333333315,0.4190498197975638,38.0,22.0,10.0
1.8999999999999981,0.41879883797776984,38.0,22.0,10.0
1.9166666666666647,0.41984583359277133,38.0,22.0,10.0
1.9333333333333313,0.4220895199634915,38.0,22.0,10.0
1.949999999999998,0.42820675938325214,37.0,21.0,11.0
1.9666666666666646,0.42820675938325214,37.0,21.0,11.0
1.9833333333333312,0.42820675938325214,37.0,21.0,11.0
1.9999999999999978,0.42905643920998493,37.0,21.0,11.0
2.0166666666666644,0.4353660927277788,36.0,20.0,12.0
2.033333333333331,0.4353660927277788,36.0,20.0,12.0
2.0499999999999976,0.4353660927277788,36.0,20.0,12.0
2.066666666666664,0.4275419788393912,36.0,20.0,12.0
2.083333333333331,0.4279307010851814,36.0,20.0,12.0
2.0999999999999974,0.43064461976057494,36.0,20.0,12.0
2.116666666666664,0.4309909263454506,36.0,20.0,12.0
2.1333333333333306,0.4309909263454506,36.0,20.0,12.0
2.1499999999999972,0.43058502284580624,36.0,20.0,12.0
2.166666666666664,0.4306163433967746,36.0,20.0,12.0
2.1833333333333305,0.4306163433967746,36.0,20.0,12.0
2.199999999999997,0.4306163433967746,36.0,20.0,12.0
2.2166666666666637,0.4306163433967746,36.0,20.0,12.0
2.2333333333333303,0.4308104918376511,36.0,20.0,12.0
2.249999999999997,0.4279517865029337,36.0,20.0,12.0
2.2666666666666635,0.4279517865029337,36.0,20.0,12.0
2.28333333333333,0.42787512009114304,36.0,20.0,12.0
2.2999999999999967,0.4222426618128401,36.0,20.0,12.0
2.3166666666666633,0.41056850264075645,36.0,20.0,12.0
2.33333333333333,0.40866843162579075,36.0,20.0,12.0
2.3499999999999965,0.40866843162579075,36.0,20.0,12.0
2.366666666666663,0.4081277113014013,36.0,20.0,12.0
2.3833333333333298,0.4113509678381272,36.0,20.0,12.0
2.3999999999999964,0.4113509678381272,36.0,20.0,12.0
2.416666666666663,0.4113509678381272,36.0,20.0,12.0
2.4333333333333296,0.40970347505408117,36.0,20.0,12.0
2.449999999999996,0.4025598036955587,36.0,20.0,12.0
2.466666666666663,0.4004544644270718,36.0,20.0,12.0
2.4833333333333294,0.4004544644270718,36.0,20.0,12.0
2.499999999999996,0.4004544644270718,36.0,20.0,12.0
2.5166666666666626,0.4004544644270718,36.0,20.0,12.0
2.533333333333329,0.4004544644270718,36.0,20.0,12.0
2.549999999999996,0.4004544644270718,36.0,20.0,12.0
2.5666666666666624,0.4004544644270718,36.0,20.0,12.0
2.583333333333329,0.4033690208017,36.0,20.0,12.0
2.5999999999999956,0.4033690208017,36.0,20.0,12.0
2.6166666666666623,0.38773616837741703,36.0,20.0,12.0
2.633333333333329,0.38773616837741703,36.0,20.0,12.0
2.6499999999999955,0.38699504511420246,36.0,20.0,12.0
2.666666666666662,0.39277109056366816,35.0,19.0,13.0
2.6833333333333287,0.39277109056366816,35.0,19.0,13.0
2.6999999999999953,0.39277109056366816,35.0,19.0,13.0
2.716666666666662,0.3935948618886647,35.0,19.0,13.0
2.7333333333333285,0.39579071733473714,35.0,19.0,13.0
2.749999999999995,0.39658542765438737,35.0,19.0,13.0
2.7666666666666617,0.3910959941758756,35.0,19.0,13.0
2.7833333333333283,0.39143888872112487,35.0,19.0,13.0
2.799999999999995,0.39143888872112487,35.0,19.0,13.0
2.8166666666666615,0.3925313313057307,35.0,19.0,13.0
2.833333333333328,0.3925313313057307,35.0,19.0,13.0
2.8499999999999948,0.3925313313057307,35.0,19.0,13.0
2.8666666666666614,0.3925313313057307,35.0,19.0,13.0
2.883333333333328,0.3925313313057307,35.0,19.0,13.0
2.8999999999999946,0.3925313313057307,35.0,19.0,13.0
2.916666666666661,0.39407931232942783,35.0,19.0,13.0
2.933333333333328,0.39407931232942783,35.0,19.0,13.0
2.9499999999999944,0.39407931232942783,35.0,19.0,13.0
2.966666666666661,0.39407931232942783,35.0,19.0,13.0
2.9833333333333276,0.40005021100108584,34.0,18.0,14.0
2.9999999999999942,0.40005021100108584,34.0,18.0,14.0
3.016666666666661,0.40005021100108584,34.0,18.0,14.0
3.0333333333333274,0.40403886901549174,34.0,18.0,14.0
3.049999999999994,0.41025286461735927,33.0,17.0,15.0
3.0666666666666607,0.41025273528927136,33.0,17.0,15.0
3.0833333333333273,0.40811085402041025,33.0,17.0,15.0
3.099999999999994,0.40811085402041025,33.0,17.0,15.0
3.1166666666666605,0.4056103621236087,33.0,17.0,15.0
3.133333333333327,0.4056103621236087,33.0,17.0,15.0
