Tempo [s],Temperatura [K],Na,Cl,NaCl
0.0,1.38355713240289,351.0,349.0,0.0
0.016666666666666666,1.38355713240289,351.0,349.0,0.0
0.03333333333333333,1.374218337024923,351.0,349.0,0.0
0.05,1.3598226189378468,351.0,349.0,0.0
0.06666666666666667,1.3513368689247054,350.0,348.0,1.0
0.08333333333333333,1.3449918337704732,347.0,345.0,4.0
0.09999999999999999,1.3398500795873993,342.0,340.0,9.0
0.11666666666666665,1.3415158594104537,338.0,335.0,14.0
0.13333333333333333,1.3296502131396388,336.0,333.0,16.0
0.15,1.3153695745966365,335.0,332.0,17.0
0.16666666666666666,1.310680896077275,334.0,331.0,18.0
0.18333333333333332,1.3125392334383787,329.0,326.0,23.0
0.19999999999999998,1.294127743153984,328.0,325.0,24.0
0.21666666666666665,1.2873139010435246,326.0,323.0,26.0
0.2333333333333333,1.2812613439556757,325.0,322.0,27.0
0.24999999999999997,1.271253883365169,322.0,319.0,30.0
0.26666666666666666,1.261235853153835,319.0,316.0,33.0
0.2833333333333333,1.255165623838551,316.0,313.0,36.0
0.3,1.2536834915651256,312.0,309.0,40.0
0.31666666666666665,1.2507072964570023,311.0,308.0,41.0
0.3333333333333333,1.2384275169725478,308.0,305.0,44.0
0.35,1.233462229439683,306.0,303.0,46.0
0.36666666666666664,1.2253893396919924,305.0,302.0,47.0
0.3833333333333333,1.2197084161989338,301.0,297.0,52.0
0.39999999999999997,1.2125918205855977,299.0,295.0,54.0
0.41666666666666663,1.2159903229876887,295.0,291.0,58.0
0.4333333333333333,1.2189044447980868,294.0,290.0,59.0
0.44999999999999996,1.2097573343946395,291.0,287.0,62.0
0.4666666666666666,1.2040534814933146,290.0,286.0,63.0
0.4833333333333333,1.1959577843666207,287.0,283.0,66.0
0.49999999999999994,1.1970046352758406,285.0,281.0,68.0
0.5166666666666666,1.1943206397579367,284.0,280.0,69.0
0.5333333333333333,1.1972724778409278,282.0,278.0,71.0
0.55,1.1971815854977628,280.0,276.0,73.0
0.5666666666666668,1.2041416211841751,274.0,270.0,79.0
0.5833333333333335,1.2063654194509228,270.0,266.0,83.0
0.6000000000000002,1.2052929137961441,269.0,265.0,84.0
0.6166666666666669,1.2042248879188047,266.0,262.0,87.0
0.6333333333333336,1.1993216233604633,264.0,259.0,91.0
0.6500000000000004,1.1997670473595907,260.0,255.0,95.0
0.6666666666666671,1.1909633849300207,259.0,254.0,96.0
0.6833333333333338,1.187964335313892,259.0,254.0,96.0
0.7000000000000005,1.1786575175753415,257.0,252.0,98.0
0.7166666666666672,1.1787878929478233,256.0,251.0,99.0
0.733333333333334,1.1778271220468346,255.0,250.0,100.0
0.7500000000000007,1.1740646479372236,254.0,249.0,101.0
0.7666666666666674,1.179436776747847,249.0,245.0,106.0
0.7833333333333341,1.1754355697366965,248.0,244.0,107.0
0.8000000000000008,1.1638743920663115,247.0,243.0,108.0
0.8166666666666675,1.1698778856586716,244.0,240.0,111.0
0.8333333333333343,1.1644809817716275,243.0,239.0,112.0
0.850000000000001,1.1691787950437122,240.0,236.0,115.0
0.8666666666666677,1.1685045537402539,240.0,236.0,115.0
0.8833333333333344,1.1596515306606294,240.0,236.0,115.0
0.9000000000000011,1.1523038650252788,240.0,236.0,115.0
0.9166666666666679,1.1481212783932355,238.0,234.0,117.0
0.9333333333333346,1.1445624234689122,238.0,234.0,117.0
0.9500000000000013,1.1386542234351422,238.0,234.0,117.0
0.966666666666668,1.1414129741275623,235.0,231.0,120.0
0.9833333333333347,1.1473214299710106,232.0,228.0,123.0
1.0000000000000013,1.14524542663011,230.0,226.0,125.0
1.016666666666668,1.152892873806912,228.0,224.0,127.0
1.0333333333333345,1.152770908162413,227.0,223.0,128.0
1.0500000000000012,1.1511886452097118,225.0,221.0,130.0
1.0666666666666678,1.1459028908107616,224.0,220.0,131.0
1.0833333333333344,1.1492550784644417,222.0,218.0,133.0
1.100000000000001,1.144018756554142,221.0,217.0,134.0
1.1166666666666676,1.1401235628056892,221.0,217.0,134.0
1.1333333333333342,1.1399299460557566,219.0,215.0,136.0
1.1500000000000008,1.1430014046623107,216.0,212.0,139.0
1.1666666666666674,1.1451271287153457,215.0,211.0,140.0
1.183333333333334,1.148632514890095,213.0,210.0,142.0
1.2000000000000006,1.1459903070757083,212.0,209.0,143.0
1.2166666666666672,1.1396797558617353,212.0,209.0,143.0
1.2333333333333338,1.1376980581189795,210.0,207.0,145.0
1.2500000000000004,1.135429613316044,210.0,207.0,145.0
1.266666666666667,1.1361732911523905,209.0,206.0,146.0
1.2833333333333337,1.1318724271306797,207.0,204.0,148.0
1.3000000000000003,1.1329749447036626,206.0,203.0,149.0
1.3166666666666669,1.131872011100522,206.0,203.0,149.0
1.3333333333333335,1.1272922070136608,206.0,203.0,149.0
1.35,1.1185893089787058,206.0,203.0,149.0
1.3666666666666667,1.1132209322983426,205.0,202.0,150.0
1.3833333333333333,1.1222215580688824,203.0,200.0,152.0
1.4,1.1296306725816334,200.0,197.0,155.0
1.4166666666666665,1.1358915410075339,197.0,194.0,158.0
1.4333333333333331,1.133668489022724,197.0,194.0,158.0
1.4499999999999997,1.140935856130327,194.0,191.0,161.0
1.4666666666666663,1.1357598399566973,193.0,190.0,162.0
1.483333333333333,1.1384948958608845,192.0,189.0,163.0
1.4999999999999996,1.1397192303344807,190.0,187.0,165.0
1.5166666666666662,1.1370673389783108,187.0,184.0,168.0
1.5333333333333328,1.1392643555053812,185.0,182.0,170.0
1.5499999999999994,1.134747497064882,185.0,182.0,170.0
1.566666666666666,1.1309686556870628,185.0,182.0,170.0
1.5833333333333326,1.1296812477677827,185.0,182.0,170.0
1.5999999999999992,1.1256932510712525,184.0,181.0,171.0
1.6166666666666658,1.1255545550739725,184.0,181.0,171.0
1.6333333333333324,1.1218421850921507,184.0,181.0,171.0
1.649999999999999,1.1259070024849902,181.0,178.0,174.0
1.6666666666666656,1.1274275698499532,180.0,177.0,175.0
1.6833333333333322,1.125259459225945,179.0,176.0,176.0
1.6999999999999988,1.1188987127478724,179.0,176.0,176.0
1.7166666666666655,1.118479607119661,178.0,175.0,177.0
1.733333333333332,1.1166724165104913,178.0,175.0,177.0
1.7499999999999987,1.121828754878827,175.0,173.0,180.0
1.7666666666666653,1.1207724007559796,175.0,173.0,180.0
1.7833333333333319,1.1122590382128155,175.0,173.0,180.0
1.7999999999999985,1.1114351612936901,175.0,173.0,180.0
1.816666666666665,1.1192635206580117,174.0,172.0,181.0
1.8333333333333317,1.122747231907111,173.0,171.0,182.0
1.8499999999999983,1.1230352461569448,173.0,171.0,182.0
1.866666666666665,1.1268520015045755,173.0,171.0,182.0
1.8833333333333315,1.1287829860666754,171.0,169.0,184.0
1.8999999999999981,1.1290566695382216,171.0,169.0,184.0
1.9166666666666647,1.1266445062931891,168.0,166.0,187.0
1.9333333333333313,1.1326189977677308,167.0,165.0,188.0
1.949999999999998,1.1227776155153786,167.0,165.0,188.0
1.9666666666666646,1.1172332541600418,167.0,165.0,188.0
1.9833333333333312,1.1133242027160404,167.0,165.0,188.0
1.9999999999999978,1.112535283213941,167.0,165.0,188.0
2.0166666666666644,1.1201367612295416,165.0,163.0,190.0
2.033333333333331,1.1200350186060164,165.0,163.0,190.0
2.0499999999999976,1.119601637527091,164.0,162.0,191.0
2.066666666666664,1.1205615434440248,163.0,161.0,192.0
2.083333333333331,1.1218322486558252,163.0,161.0,192.0
2.0999999999999974,1.1231940704608956,163.0,161.0,192.0
2.116666666666664,1.1247747526852252,162.0,160.0,193.0
2.1333333333333306,1.1284570920207744,162.0,160.0,193.0
2.1499999999999972,1.1247188111431254,161.0,159.0,194.0
2.166666666666664,1.1238416678453242,160.0,158.0,195.0
2.1833333333333305,1.122134013700321,160.0,158.0,195.0
2.199999999999997,1.1218284827736185,159.0,157.0,196.0
2.2166666666666637,1.1187824505876047,158.0,156.0,197.0
2.2333333333333303,1.1176151942961603,158.0,156.0,197.0
2.249999999999997,1.127024284995824,155.0,153.0,200.0
2.2666666666666635,1.1229411711396733,154.0,152.0,201.0
2.28333333333333,1.119662191936946,154.0,152.0,201.0
2.2999999999999967,1.1160180611401507,154.0,152.0,201.0
