massa,vel_x,vel_y
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,-0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,-0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,-226.58359357968482,188.35774061845632
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,-0.0
3.819884112e-26,0.0,0.0
9.633341376e-26,-131.30225436518117,-65.11732909856082
9.633341376e-26,-199.68930897191763,135.28463156461663
9.633341376e-26,-40.12088455962538,-326.8075558809716
9.633341376e-26,-69.34989471827134,594.7344441632458
9.633341376e-26,-362.3652835792686,254.87688769458913
9.633341376e-26,-187.64373574592872,281.5945640801367
9.633341376e-26,269.78881225394366,-213.87911403063495
9.633341376e-26,-182.76447474566223,-131.8679050581569
9.633341376e-26,0.36291411959303826,-250.7659937980099
9.633341376e-26,93.66035568887034,-48.1149303063697
9.633341376e-26,-234.33922066292263,-57.51746478127748
